model,outcome,n,term,coefficient,std_error,OR,CI_lower,CI_upper,p_value,pseudo_r2,aic,significant_05
A1_basic_suspension,outcome_suspended,33,Intercept,-72.32841103311081,285.72247728603526,3.874094440414558e-32,2.4030156899702422e-275,6.24573855089447e+211,0.8001583444586043,0.022482865354674142,49.5748430434084,False
A1_basic_suspension,outcome_suspended,33,"C(lawyer, Treatment(reference='public'))[T.lawyer]",0.1461592818056227,0.9671182537680005,1.157380523029303,0.1738856005025402,7.703511223564567,0.8798742279586202,0.022482865354674142,49.5748430434084,False
A1_basic_suspension,outcome_suspended,33,"C(lawyer, Treatment(reference='public'))[T.lawfirm]",-0.3330567342515864,1.0120575701348107,0.7167295298887134,0.09860304633119248,5.2097905503756206,0.7420886270334115,0.022482865354674142,49.5748430434084,False
A1_basic_suspension,outcome_suspended,33,C(crime_subgroup)[T.hit_run_injury],0.6995753993515788,0.901849114059007,2.012897848264854,0.3436895899771472,11.78900340804239,0.43791890926574895,0.022482865354674142,49.5748430434084,False
A1_basic_suspension,outcome_suspended,33,decision_year,0.03533314308535015,0.14141723058613204,1.0359647758198167,0.7851821611833546,1.3668458986917629,0.8027030886192906,0.022482865354674142,49.5748430434084,False
A1_factor_control,outcome_suspended,22,Intercept,-0.879052045728458,1.1046494749895732,0.4151762933389255,0.047637965922422025,3.6183609273190753,0.4261630304570959,0.31924818355642093,34.26403616729892,False
A1_factor_control,outcome_suspended,22,"C(lawyer, Treatment(reference='public'))[T.lawyer]",2.024639525306651,1.5899500765800698,7.573380440535682,0.3356771775362858,170.86681828671064,0.20287678478646032,0.31924818355642093,34.26403616729892,False
A1_factor_control,outcome_suspended,22,"C(lawyer, Treatment(reference='public'))[T.lawfirm]",-0.6192864515633731,1.3998879105150355,0.5383284239872651,0.034630643500705716,8.368238726684563,0.6582121623294923,0.31924818355642093,34.26403616729892,False
A1_factor_control,outcome_suspended,22,C(crime_subgroup)[T.hit_run_injury],1.399568235251825,1.5881638280388781,4.053449452384602,0.1802923337203045,91.13228568290832,0.3781829099208758,0.31924818355642093,34.26403616729892,False
A1_factor_control,outcome_suspended,22,settlement,0.05574704830073239,1.7986270714682697,1.0573301964374782,0.03113267919834966,35.90912099713471,0.9752741469483386,0.31924818355642093,34.26403616729892,False
A1_factor_control,outcome_suspended,22,same_prior,-2.277790992371918,1.514984715109173,0.10251040305113868,0.005262724233897973,1.9967572433343312,0.13270820552119406,0.31924818355642093,34.26403616729892,False
A1_factor_control,outcome_suspended,22,high_road_risk,3.0162502965373807,1.6746676370311446,20.414599293532252,0.7664100354659691,543.7766274316909,0.07168651605156447,0.31924818355642093,34.26403616729892,False
A3_strict_suspension_robustness,outcome_suspended,16,Intercept,-1.3862943611198906,1.1180339887498947,0.25,0.027942660366468017,2.23672331769103,0.2149978200002569,0.006459948577258401,23.878479632525945,False
A3_strict_suspension_robustness,outcome_suspended,16,"C(lawyer, Treatment(reference='public'))[T.lawyer]",0.2876820724517808,1.607275126832159,1.3333333333333333,0.05712466527027217,31.12101872924125,0.8579475579423571,0.006459948577258401,23.878479632525945,False
A3_strict_suspension_robustness,outcome_suspended,16,"C(lawyer, Treatment(reference='public'))[T.lawfirm]",0.47000362924573535,1.396424004376894,1.5999999999999996,0.10362909731469477,24.70348643707607,0.7364361062164124,0.006459948577258401,23.878479632525945,False
X1_high_road_risk,outcome_suspended,22,Intercept,-0.8754687373538999,0.532290647422377,0.4166666666666667,0.14679191553447152,1.182702129602918,0.10002769677233593,0.13995307355859943,29.60113921404021,False
X1_high_road_risk,outcome_suspended,22,high_road_risk,2.2617630984737906,1.2382783747337809,9.600000000000001,0.8477089522073339,108.71655862548847,0.06776919074836117,0.13995307355859943,29.60113921404021,False
X2_crime_subgroup,outcome_suspended,33,Intercept,-0.9985288301111275,0.4421410655034331,0.3684210526315788,0.15487926600526145,0.8763863331942024,0.02392109229073237,0.015678699023488507,43.850310147824544,True
X2_crime_subgroup,outcome_suspended,33,C(crime_subgroup)[T.hit_run_injury],0.7108467576593465,0.8825089547068883,2.035714285714286,0.361013830553623,11.479152049953608,0.42054049141324024,0.015678699023488507,43.850310147824544,False
