signguCode,signguNm,baseYm,KTCI_data,KTCI_2014_adapted,KTCI_hybrid,score_thermal,score_humidity,score_wind,score_precipitation,score_air_quality,S_temp,S_humidity,S_wind,S_precip,S_airquality,visitor_local,visitor_domestic,visitor_foreign,visitor_total,n_days,관광객다양성,관광소비다양성,국제다양성,관광체류강도,숙박비중,타권역방문자비중,관광소비강도
11110,종로구,202301,79.01252271305006,73.79194797807688,77.44635029255811,55.195492634605536,83.17451612903226,82.3409609148319,97.99366359447005,59.66651302729529,0.4480450736539446,0.16825483870967745,0.17659039085168113,0.020063364055299526,0.40333486972704713,4540746.0,10226391.0,236941.35,15004078.35,31,,,,,,,
11110,종로구,202302,81.27121923362894,78.69200317310897,80.49745441547294,63.287473544973544,89.21428571428571,83.22784155328797,99.95408163265306,57.08106753663004,0.3671252645502645,0.10785714285714286,0.16772158446712013,0.0004591836734693857,0.42918932463369963,4315825.5,10760134.0,267862.75,15343822.25,28,,,,,,,
11110,종로구,202303,82.72379419655554,86.21771320121086,84.29605774865044,79.53630184331799,92.32645161290323,78.64981566820276,99.37672811059909,48.58428225806452,0.20463698156682025,0.07673548387096775,0.21350184331797234,0.0062327188940092095,0.5141571774193548,4886889.0,12432486.5,335393.35,17654768.85,31,,,,,,,
11110,종로구,202304,78.83344226078663,91.07050683724877,84.3401213201946,92.33208333333333,75.03500000000001,75.90267857142858,95.70108333333334,51.297050000000006,0.07667916666666662,0.24964999999999998,0.24097321428571428,0.042989166666666655,0.4870295,4688778.5,11121082.0,729833.49,16539693.99,30,,,,,,,
11110,종로구,202305,81.93211887432915,91.41499832436227,86.19941462684405,93.17513654207202,81.10354838709678,79.9400635774023,93.72256912442396,59.913314516129034,0.06824863457927971,0.18896451612903226,0.20059936422597707,0.06277430875576036,0.40086685483870965,5292399.0,12108673.5,688864.62,18089937.12,31,,,,,,,
11110,종로구,202306,82.66626332083564,86.4742700909958,82.66626332083564,83.31326190476192,58.088,81.77810714285715,92.55928571428572,60.67573333333333,0.16686738095238093,0.41912,0.18221892857142852,0.07440714285714285,0.3932426666666667,4957963.5,11120760.0,680035.27,16758758.77,30,,,,,,,
11110,종로구,202307,71.57867737533618,74.6087479503792,71.57867737533618,68.35507723160949,25.740000000000002,80.93485321727258,82.35769585253456,64.32612903225807,0.3164492276839051,0.7426,0.19065146782727427,0.17642304147465437,0.35673870967741933,4840710.0,10978565.5,654024.18,16473299.68,31,,,,,,,
11110,종로구,202308,73.35135201678159,74.93406521639412,73.35135201678159,63.998145029999876,24.038709677419355,83.1942793138761,89.25453917050692,66.07520161290323,0.3600185497000013,0.7596129032258064,0.1680572068612391,0.10745460829493086,0.3392479838709677,4796666.0,10734125.5,704345.8700000001,16235137.37,31,,,,,,,
11110,종로구,202309,81.51861983971227,87.29308711565486,82.96223665869792,82.43854938271605,53.02733333333333,86.79212522045856,93.88361992945326,68.52965256410258,0.1756145061728395,0.4697266666666666,0.13207874779541443,0.06116380070546735,0.31470347435897433,4647534.5,11739609.0,781200.8200000001,17168344.32,30,,,,,,,
11110,종로구,202310,86.72822178059663,96.7276050679998,89.22806760244744,98.06144114248953,79.45193548387095,86.18667264038233,98.1524351425158,68.15177274607113,0.019385588575104664,0.20548064516129033,0.13813327359617678,0.01847564857484211,0.3184822725392886,4894925.0,12493929.0,912417.7100000001,18301271.71,31,,,,,,,
11110,종로구,202311,83.1495739874566,82.79005359822789,83.05969389014943,73.88026940035274,80.53666666666666,78.01445855379188,96.05442857142857,68.78358333333334,0.2611973059964726,0.19463333333333335,0.21985541446208107,0.03945571428571428,0.31216416666666663,4984490.0,11413860.5,804352.3099999999,17202702.81,30,,,,,,,
