shot_id,match_id,team,opponent,player,period,minute,second,shot_x,shot_y,shot_dist_to_goal_m,xg,outcome,is_goal,shot_type,body_part,first_time,under_pressure,play_pattern,attack_start_x,attack_start_y,attack_start_type,attack_duration_s,n_pass,n_carry,x_progression,goal_dist_gain,progression_speed,last_pass_type,last_pass_x,last_pass_y,attack_path,has_360_frame,n_tracked_360,n_defenders_ff,nearest_def_dist_m,def_within_1m,def_within_2m,def_within_3m,def_in_box,def_between_ball_goal,teammates_in_box,gk_x,gk_y,gk_dist_from_goalline_m,gk_lateral_offset_m,attack_type
9d2b23a7-0fde-45f1-8b6e-58fc9da4aab5,8650,Belgium,Brazil,Kevin De Bruyne,1,1,34,91.0,51.0,28.36,0.020460658,Off T,0,Open Play,Right Foot,False,False,From Goal Kick,91.0,3.0,Pressure,14,0,1,0.0,16.0,0.0,,,,half_space,False,0,8,5.86,0,0,0,1,1,0,118.0,41.0,1.83,0.91,other
ff6fee87-0f6b-461e-a5fd-e5032aa19564,8650,Brazil,Belgium,Thiago Emiliano da Silva,1,7,12,115.0,39.0,4.66,0.27402094,Post,0,Open Play,Right Foot,True,False,From Corner,119.0,2.0,Pass,2,1,0,-4.0,32.9,-2.0,cross,119.0,2.0,wide,False,0,8,2.04,0,0,2,7,2,3,118.0,38.0,1.83,1.83,wide_cross
ebeaf37c-a1be-46a4-b3bb-ae4779458734,8650,Belgium,Brazil,Eden Hazard,1,7,32,106.0,31.0,15.22,0.06590014,Blocked,0,Open Play,Right Foot,False,False,Regular Play,5.0,43.0,Ball Recovery,18,2,4,101.0,98.4,5.61,central_pass,112.0,32.0,central,False,0,8,2.04,0,0,1,5,4,2,119.0,39.0,0.91,0.91,central_penetration
0f142c55-8a4a-4af1-b57b-e8eba2491c4b,8650,Belgium,Brazil,Nacer Chadli,1,7,35,92.0,29.0,27.51,0.022908047,Off T,0,Open Play,Right Foot,False,False,Regular Play,5.0,43.0,Ball Recovery,21,2,5,87.0,85.0,4.14,,,,half_space,False,0,10,3.3,0,0,0,7,2,4,119.0,41.0,0.91,0.91,other
06ffa199-3887-4696-b954-5ba6376cbce6,8650,Brazil,Belgium,José Paulo Bezzera Maciel Júnior,1,9,12,109.0,46.0,11.46,0.17421605,Blocked,0,Open Play,Right Foot,True,False,Regular Play,45.0,67.0,Pass,67,14,13,64.0,67.2,0.96,central_pass,107.0,53.0,half_space,False,0,9,2.04,0,0,2,8,1,3,118.0,40.0,1.83,0.0,central_penetration
91337d94-d6b5-499c-9883-5395f2048838,8650,Brazil,Belgium,José Paulo Bezzera Maciel Júnior,1,9,50,111.0,37.0,8.67,0.20371178,Wayward,0,Open Play,Right Foot,True,False,From Corner,119.0,80.0,Pass,1,1,0,-8.0,30.5,-8.0,cutback,119.0,80.0,wide,False,0,9,4.57,0,0,0,9,1,4,119.0,41.0,0.91,0.91,cutback
44ec04e4-1a9a-4aaf-a8a5-04cb997a203f,8650,Belgium,Brazil,Marouane Fellaini-Bakkioui,1,12,5,98.0,38.0,20.2,0.078730114,Blocked,0,Open Play,Right Foot,False,False,From Throw In,88.0,1.0,Pass,23,11,7,10.0,28.4,0.43,central_pass,73.0,31.0,central,False,0,8,2.89,0,0,1,2,1,1,119.0,41.0,0.91,0.91,central_penetration
d0f5fc00-567c-4db8-b721-05c1270b4ab0,8650,Brazil,Belgium,Gabriel Fernando de Jesus,1,14,38,115.0,37.0,5.33,0.27625608,Blocked,0,Open Play,Left Foot,True,False,Regular Play,46.0,41.0,Pass,53,12,12,69.0,68.2,1.3,cross,119.0,26.0,half_space,False,0,8,0.91,1,1,2,8,2,3,118.0,37.0,1.83,2.74,wide_cross
28749d5b-5e06-4944-8bc8-09d630e4c393,8650,Brazil,Belgium,Philippe Coutinho Correia,1,18,53,96.0,33.0,22.86,0.06166237,Saved,0,Open Play,Right Foot,False,True,Regular Play,33.0,19.0,Ball Recovery,40,9,11,63.0,64.5,1.57,central_pass,86.0,30.0,central,False,0,9,2.89,0,0,1,3,1,2,118.0,40.0,1.83,0.0,central_penetration
c1e841bc-2074-4ba0-a31b-e3df9120edc1,8650,Brazil,Belgium,Marcelo Vieira da Silva Júnior,1,25,19,99.0,18.0,27.81,0.011753061,Saved,0,Open Play,Left Foot,False,False,From Throw In,84.0,80.0,Pass,12,3,3,15.0,23.4,1.25,central_pass,55.0,51.0,half_space,False,0,9,2.04,0,0,1,5,1,1,118.0,38.0,1.83,1.83,central_penetration
