shot_id,match_id,team,opponent,player,period,minute,second,shot_x,shot_y,shot_dist_to_goal_m,xg,outcome,is_goal,shot_type,body_part,first_time,under_pressure,play_pattern,attack_start_x,attack_start_y,attack_start_type,attack_duration_s,n_pass,n_carry,x_progression,goal_dist_gain,progression_speed,last_pass_type,last_pass_x,last_pass_y,attack_path,has_360_frame,n_tracked_360,n_defenders_ff,nearest_def_dist_m,def_within_1m,def_within_2m,def_within_3m,def_in_box,def_between_ball_goal,teammates_in_box,gk_x,gk_y,gk_dist_from_goalline_m,gk_lateral_offset_m,attack_type
1146ccdf-7a18-4edb-af66-dc85645a90c2,3857288,Australia,Tunisia,Fran Karačić,1,43,38,106.4,54.9,18.45,0.035070673,Blocked,0,Open Play,Left Foot,True,False,Regular Play,34.1,51.1,Pass,23,9,7,72.3,66.4,3.14,,,,half_space,True,16,9,2.82,0,0,1,6,2,3,116.0,44.7,3.66,4.3,slow_possession
39ed37fb-f84e-4837-a487-eca044e01163,3857288,Australia,Tunisia,Fran Karačić,1,45,44,87.2,52.2,32.0,0.0052714557,Wayward,0,Open Play,Right Foot,True,False,From Corner,120.0,80.0,Pass,10,0,0,-32.8,5.0,-3.28,,,,half_space,True,20,11,5.24,0,0,0,4,3,2,118.5,41.4,1.37,1.28,other
c1a70365-5ed5-497e-b133-f287066126a1,3857288,Tunisia,Australia,Youssef Msakni,1,47,16,111.0,45.5,9.64,0.23484555,Off T,0,Open Play,Right Foot,True,False,From Throw In,111.3,80.0,Pass,20,6,6,-0.3,30.4,-0.01,cross,112.3,69.5,wide,True,14,8,1.89,0,1,1,6,1,2,117.4,42.7,2.38,2.47,wide_cross
8aa0fcc9-cdaa-47ab-b593-ec0343ad1843,3857288,Australia,Tunisia,Mitchell Thomas Duke,2,56,17,107.3,39.8,11.61,0.06400663,Wayward,0,Open Play,Head,False,False,From Throw In,68.5,0.1,Pass,16,4,3,38.8,52.4,2.42,cross,89.2,76.7,wide,False,0,7,1.4,0,1,1,4,1,1,117.5,39.5,2.29,0.46,wide_cross
bafebc5f-4ae9-4de7-8d7a-35d51be103ab,3857288,Tunisia,Australia,Ferjani Sassi,2,60,25,91.2,52.7,28.78,0.020219443,Off T,0,Open Play,Right Foot,False,False,From Throw In,89.5,80.0,Pass,25,7,6,1.7,18.8,0.07,central_pass,80.1,31.6,central,True,17,10,3.68,0,0,0,1,1,0,117.2,41.1,2.56,1.01,central_penetration
14545118-82f0-4b64-b0a1-c0e1e51154f0,3857288,Tunisia,Australia,Youssef Msakni,2,65,18,101.8,31.8,18.25,0.058604978,Blocked,0,Open Play,Right Foot,True,False,Regular Play,43.7,39.1,Duel,16,5,5,58.1,56.3,3.63,cutback,105.5,30.1,central,True,14,9,1.49,0,1,2,7,2,3,116.6,38.3,3.11,1.55,cutback
ad2caade-93ae-4fc8-bc21-a1142c2107d7,3857288,Tunisia,Australia,Youssef Msakni,2,71,22,108.1,25.0,17.51,0.026706748,Saved,0,Open Play,Left Foot,True,False,Regular Play,17.2,5.1,Ball Recovery,35,11,9,90.9,89.4,2.6,central_pass,86.3,36.9,central,True,18,10,1.52,0,1,1,4,2,3,116.5,36.6,3.2,3.11,central_penetration
d730c8b5-b5cc-4c4e-abc5-01e19adf9c13,3857288,Tunisia,Australia,Youssef Msakni,2,71,50,95.6,42.2,22.4,0.048467197,Saved,0,Open Play,Right Foot,False,False,Regular Play,17.2,5.1,Ball Recovery,63,14,13,78.4,84.1,1.24,central_pass,70.0,57.3,half_space,True,17,10,2.33,0,0,1,5,2,4,116.8,40.0,2.93,0.0,central_penetration
0eda6921-f9f9-4022-a826-2580bc49d877,3857288,Australia,Tunisia,Aaron Mooy,2,73,15,95.6,44.1,22.62,0.039191317,Off T,0,Open Play,Right Foot,True,False,From Throw In,101.0,80.0,Pass,5,1,0,-5.4,19.5,-1.08,central_pass,102.1,41.7,central,True,16,10,5.39,0,0,0,6,1,3,117.9,40.2,1.92,0.18,central_penetration
14f00f94-3634-430d-8ed2-e689083efd28,3857288,Tunisia,Australia,Youssef Msakni,2,74,6,110.1,38.0,9.24,0.10262261,Off T,0,Open Play,Head,False,True,From Throw In,104.2,80.0,Pass,9,2,2,5.9,32.9,0.66,,,,central,True,16,9,1.04,0,1,1,6,1,3,118.2,40.6,1.65,0.55,other
61cf7eac-d6b7-4e16-a12b-bb40a6b3d717,3857288,Tunisia,Australia,Montassar Omar Talbi,2,83,13,89.6,34.9,28.19,0.012159805,Saved,0,Open Play,Right Foot,True,False,From Throw In,106.6,0.1,Pass,4,0,0,-17.0,11.3,-4.25,,,,central,False,0,11,6.68,0,0,0,8,2,3,118.4,40.0,1.46,0.0,other
55360232-7d1d-45da-a838-f0804c83a6c3,3857288,Tunisia,Australia,Taha Yassine Khenissi,2,85,32,98.4,54.6,23.84,0.012915949,Blocked,0,Open Play,Right Foot,False,False,From Counter,14.4,51.3,Pass,10,1,1,84.0,80.1,8.4,,,,half_space,True,7,6,1.04,0,1,1,1,2,0,117.0,42.9,2.74,2.65,fast_counter
48b1fc83-3650-48c6-9961-d637e88cb905,3857288,Tunisia,Australia,Naïm Sliti,2,86,36,109.8,47.4,11.52,0.1403044,Blocked,0,Open Play,Left Foot,False,False,Regular Play,32.8,21.8,Ball Recovery,20,3,5,77.0,76.5,3.85,central_pass,112.8,55.3,half_space,True,14,9,2.47,0,0,1,9,1,3,116.3,43.8,3.38,3.47,central_penetration
d7978250-dde0-4c0e-8d55-da044c7b4620,3857288,Tunisia,Australia,Wahbi Khazri,2,87,48,109.9,49.4,12.62,0.09264534,Saved,0,Open Play,Left Foot,True,False,Regular Play,79.8,62.8,Ball Recovery,6,2,1,30.1,32.4,5.02,cross,116.4,62.2,wide,True,14,9,2.46,0,0,1,9,1,3,116.7,43.8,3.02,3.47,wide_cross
432729bb-2800-41e7-a98a-89662baf21c1,3857288,Tunisia,Australia,Wahbi Khazri,2,91,46,108.4,24.1,18.0,0.021421792,Blocked,0,Open Play,Right Foot,False,False,Regular Play,60.2,18.5,Ball Recovery,48,10,12,48.2,43.9,1.0,,,,half_space,True,19,11,1.62,0,1,1,9,2,6,118.4,36.7,1.46,3.02,slow_possession
d61a5bc5-cdf0-47a7-ad8b-1453b3315a82,3857267,Senegal,Ecuador,Idrissa Gana Gueye,1,2,43,106.9,45.7,13.06,0.21271749,Off T,0,Open Play,Right Foot,False,False,From Goal Kick,6.0,36.0,Pass,20,4,2,100.9,99.8,5.04,cross,105.2,5.8,wide,True,11,6,3.77,0,0,0,6,1,3,114.7,42.9,4.85,2.65,wide_cross
26b97ae4-3213-4621-9403-327bd8d869db,3857267,Senegal,Ecuador,Boulaye Dia,1,7,47,109.3,51.9,14.63,0.16839646,Off T,0,Open Play,Right Foot,True,False,From Free Kick,49.9,7.9,Pass,26,8,6,59.4,61.1,2.28,through_ball,99.2,58.3,half_space,True,12,7,1.35,0,1,1,6,1,2,114.8,46.0,4.75,5.49,central_penetration
48487024-2b14-4521-a46b-508418babbad,3857267,Ecuador,Senegal,Enner Remberto Valencia Lastra,1,9,51,86.9,40.9,30.28,0.021615954,Blocked,0,Free Kick,Right Foot,False,False,From Free Kick,86.9,40.9,Shot,0,0,0,0.0,0.0,,,,,central,True,20,11,8.32,0,0,0,8,5,3,118.3,39.5,1.55,0.46,set_piece
