NM,방문수,만족,재방문의향,유형
무진장,26,2.730769230769231,3.0,평범(한적+불만)
강릉 동화 가든 본점,26,4.269230769230769,3.923076923076923,평범(한적+불만)
제주현대렌트카,25,4.333333333333333,4.041666666666667,평범(한적+불만)
설악워터피아,25,4.4,4.4,숨은명소(한적+만족)
대장봉,25,4.8,4.2,숨은명소(한적+만족)
진미통닭,25,4.04,3.88,평범(한적+불만)
스타벅스 제주 성산 DT 점,25,4.52,4.44,숨은명소(한적+만족)
디피랑,25,4.44,3.92,숨은명소(한적+만족)
싱계물공원,25,4.4,4.24,숨은명소(한적+만족)
박수기정,25,4.44,4.2,숨은명소(한적+만족)
신화 워터파크,25,4.4,4.2,숨은명소(한적+만족)
하멜,25,4.4,4.4,숨은명소(한적+만족)
신세계백화점 본점,25,4.0,3.84,평범(한적+불만)
델문도 김녕점,25,4.48,4.24,숨은명소(한적+만족)
대관령양떼목장,25,4.6,4.04,숨은명소(한적+만족)
재인폭포,25,4.48,4.12,숨은명소(한적+만족)
조양방직,25,4.08,4.08,평범(한적+불만)
용문사,25,4.68,4.4,숨은명소(한적+만족)
바다정원,25,4.2,4.08,평범(한적+불만)
사인암,25,4.36,4.2,숨은명소(한적+만족)
다랑쉬오름,25,4.36,3.92,숨은명소(한적+만족)
어린왕자감귤밭,25,4.32,3.68,평범(한적+불만)
롯데마트 제주점,25,4.0,4.0,평범(한적+불만)
백제문화단지,25,4.28,3.92,평범(한적+불만)
여수예술랜드,25,3.8,3.28,평범(한적+불만)
테라로사 커피공장 강릉본점,25,4.04,3.8,평범(한적+불만)
해녀촌,25,4.2,4.04,평범(한적+불만)
소쇄원,25,4.24,3.76,평범(한적+불만)
국립민속박물관,25,4.4,4.24,숨은명소(한적+만족)
구읍뱃터,25,3.88,3.68,평범(한적+불만)
분황사,25,4.04,3.44,평범(한적+불만)
용연 구름다리,25,3.84,3.52,평범(한적+불만)
뽀로로 앤 타요 테마파크 제주,25,4.64,4.64,숨은명소(한적+만족)
남산공원,25,4.12,3.84,평범(한적+불만)
국립현대미술관 과천관,25,4.56,4.4,숨은명소(한적+만족)
평대리해수욕장,25,4.28,4.2,평범(한적+불만)
전라감영,25,4.16,3.64,평범(한적+불만)
한담몰,24,4.0,3.7083333333333335,평범(한적+불만)
세화민속오일시장,24,4.083333333333333,4.041666666666667,평범(한적+불만)
성심당 케익부띠끄,24,4.666666666666667,4.583333333333333,숨은명소(한적+만족)
성산일출봉농협하나로마트,24,4.166666666666667,4.208333333333333,평범(한적+불만)
담백,24,4.458333333333333,4.291666666666667,숨은명소(한적+만족)
네거리식당,24,4.291666666666667,4.083333333333333,평범(한적+불만)
내소사,24,4.416666666666667,4.25,숨은명소(한적+만족)
말고기연구소,24,4.458333333333333,4.25,숨은명소(한적+만족)
상당산성,24,4.5,4.333333333333333,숨은명소(한적+만족)
하이원 워터월드,24,4.666666666666667,4.625,숨은명소(한적+만족)
상화원,24,4.125,4.041666666666667,평범(한적+불만)
상주은모래비치,24,4.541666666666667,4.125,숨은명소(한적+만족)
테라도스,24,4.041666666666667,3.4166666666666665,평범(한적+불만)
도치돌목장,24,4.458333333333333,3.9583333333333335,숨은명소(한적+만족)
삽교호 놀이공원,24,4.375,4.166666666666667,숨은명소(한적+만족)
항파두리 항몽 유적지,24,4.208333333333333,4.083333333333333,평범(한적+불만)
사려니숲길 붉은오름 입구,24,4.625,4.458333333333333,숨은명소(한적+만족)
런던베이글뮤지엄 안국점,24,4.125,3.875,평범(한적+불만)
패밀리렌트카,24,4.125,3.7083333333333335,평범(한적+불만)
로그인렌트카,24,4.083333333333333,4.083333333333333,평범(한적+불만)
카페루시아 본점,24,4.541666666666667,4.375,숨은명소(한적+만족)
본태 박물관,24,4.625,4.25,숨은명소(한적+만족)
뮤지엄산,24,4.333333333333333,4.208333333333333,평범(한적+불만)
