term,coef,OR,CI_low,CI_high,p,sig_05
Intercept,-0.5675697780258692,0.5669014623918712,0.160188266123506,2.0062472479367406,0.3787560614031149,비유의
"C(lawyer, Treatment(reference='lawyer'))[T.public]",0.4095097898190971,1.506079308712939,0.37564129742135427,6.038406585495672,0.5632660243925953,비유의
"C(lawyer, Treatment(reference='lawyer'))[T.lawfirm]",0.3568797024779543,1.4288639707195463,0.4829132586617445,4.227782547280399,0.5190605918051376,비유의
C(sex_type)[T.rape],1.3344897631659,3.798057543082421,1.1255303377416113,12.816394740198362,0.03151324414791483,유의
C(sex_type)[T.camera],0.30167045290766475,1.3521155675268919,0.42631839872208294,4.288382845846594,0.6084735273508097,비유의
agree,0.32862105374320577,1.3890513800199846,0.4901824849422624,3.9362151761964546,0.5363364619137264,비유의
first_offender,-0.39735104199750015,0.6720980495744886,0.24897030524064878,1.814336002059418,0.4329063630305895,비유의
same_record,0.3327680362629244,1.3948237124202452,0.21320087710427243,9.125352649362094,0.7284124365227946,비유의
