term,coef,OR,CI_low,CI_high,p,sig_05
Intercept,-0.15863254087250445,0.8533098578624425,0.2328737789355261,3.1267483907100404,0.8107817182178446,비유의
"C(lawyer, Treatment(reference='public'))[T.lawyer]",-0.40883418412530265,0.6644243953008561,0.16572243717581933,2.663850378947492,0.5639033739673778,비유의
"C(lawyer, Treatment(reference='public'))[T.lawfirm]",-0.05202205661699711,0.9493079280905892,0.2587695132563056,3.482580041965927,0.937474750934435,비유의
C(sex_type)[T.rape],1.3346781501797644,3.7987731152015782,1.1257317181379518,12.818930965761341,0.03149058980464068,유의
C(sex_type)[T.camera],0.3017395194546915,1.352208956705319,0.42634770746615913,4.288680414070762,0.6083915602195054,비유의
agree,0.3285990460495425,1.3890208105391135,0.4901716182986193,3.936129184320362,0.536363817040276,비유의
first_offender,-0.3974469419224775,0.6720335985124324,0.2489445441902751,1.8141757594991783,0.4327988417989772,비유의
same_record,0.3326852420400984,1.3947082338555412,0.21317721402262635,9.124854485517295,0.7284812528837847,비유의
