term,coef,OR,CI_low,CI_high,p,sig_05
Intercept,-0.7150414475878298,0.4891718363834986,0.08265396305664609,2.8950709277764433,0.43058116306730565,비유의
"C(lawyer, Treatment(reference='public'))[T.lawyer]",-0.6586233401984005,0.5175633529384328,0.11976020625031739,2.23673482780231,0.3777963430783381,비유의
"C(lawyer, Treatment(reference='public'))[T.lawfirm]",-0.08323580714505552,0.9201341474297062,0.2439743634957328,3.470228745082884,0.9021893861254816,비유의
C(sex_type)[T.rape],1.149052648504636,3.1552024076660654,0.8696588787298191,11.447364566532062,0.08053900949738929,비유의
C(sex_type)[T.camera],0.22735726326352357,1.2552782526449888,0.3791475738792886,4.155963535362429,0.7097321102767766,비유의
agree,0.191110893823521,1.2105936920012095,0.4005304028270278,3.6589908700289673,0.7348750030314536,비유의
reflection,0.2668873498809445,1.3058933290054315,0.47012027068680584,3.6274917145127694,0.6086491538604677,비유의
first_offender,-0.5312505148687519,0.5878693704466995,0.20998944998434083,1.6457512352890584,0.31180238803471905,비유의
same_record,0.43599016684715075,1.5464935877667825,0.23195388351604312,10.31085309178864,0.6524132863437091,비유의
recovery,0.9550163260727279,2.598713009350782,0.6420409829357692,10.518501909471734,0.18063689449494014,비유의
minor_victim,0.6636894986175077,1.9419439328387118,0.5019723254508528,7.512657664746718,0.33630291760371556,비유의
