term,coef,OR,CI_low,CI_high,p,sig_05
Intercept,-0.4591399694805596,0.6318268022406905,0.17675705267993352,2.258496065515222,0.47991118182508585,비유의
"C(lawyer, Treatment(reference='public'))[T.lawyer]",-0.274305077077341,0.7601001507527773,0.20260502829774807,2.851618461933387,0.6842879692618538,비유의
"C(lawyer, Treatment(reference='public'))[T.lawfirm]",-0.2033958939369829,0.8159551457789622,0.23598917136811653,2.82124300900494,0.7479510674601724,비유의
C(sex_type)[T.rape],0.2582105176951445,1.294611328532143,0.4078948962643216,4.108946954996164,0.6612529311395681,비유의
C(sex_type)[T.camera],0.3085848370004233,1.361497009970581,0.4267519465998656,4.343680498537687,0.6021363990933015,비유의
agree,0.3630883353441466,1.43776285890879,0.5318510905792082,3.886730844542128,0.47424450801365703,비유의
first_offender,-0.02205862292231611,0.9781828894308044,0.3806202844749714,2.5139011350776204,0.9634664984203869,비유의
same_record,0.33159283625041985,1.3931854783908397,0.25161740887097056,7.713956621318044,0.7041347816318761,비유의
