term,coef,OR,CI_low,CI_high,p,sig_05
Intercept,-1.9064518804280413,0.14860672672003256,0.027756968572804776,0.795618554977198,0.025944097447798086,유의
"C(lawyer, Treatment(reference='public'))[T.lawyer]",0.9239814777226337,2.5193009889878697,0.5252070115053742,12.084525404418203,0.24809178625404127,비유의
"C(lawyer, Treatment(reference='public'))[T.lawfirm]",-0.20457002832216745,0.8149976669999113,0.18310068588962958,3.6276281215881476,0.7882941833708857,비유의
C(sex_type)[T.rape],1.4214052428759127,4.142938185992365,1.1857654644367395,14.474984579776825,0.025953211897222727,유의
C(sex_type)[T.camera],-0.3473948725366763,0.7065262853416618,0.17859605022650757,2.7950192137261403,0.620527913082958,비유의
first_offender,0.43432599073512995,1.5439220903863602,0.538337028414214,4.42788679835877,0.41911387998526917,비유의
same_record,0.42038677082767506,1.5225503198002555,0.1908804463941306,12.14456231696628,0.6915185688974628,비유의
reflection,1.3529326380107538,3.8687545672941366,1.3191712114804186,11.345958562241876,0.01371788381249573,유의
