precedent_id,case_number,case_name,court_name,decision_date_iso,crime_name,sex_type,lawyer,punishment,guilty,year,injury_weeks,reduced,outcome,minor_victim,relative,special,distribute,habit_flag,agree,reflection,first_offender,same_record,recovery,conceal,deny
612921,2024노3318,성폭력범죄의처벌등에관한특례법위반(친족관계에의한강간)·성폭력범죄의처벌등에관한특례법위반(친족관계에의한준강간)·성폭력범죄의처벌등에관한특례법위반(친족관계에의한강제추행)·특정범죄가중처벌등에관한법률위반(보복협박등)·특수폭행·스토킹범죄의처벌등에관한법률위반,서울고등법원,2025-04-24,성폭력범죄의처벌등에관한특례법위반(친족관계에의한강간),rape,lawyer,suspended,Guilty,23.0,,aggravated,True,1,1,1,0,0,1,0,0,0,0,0,0
618471,"2023고단1179, 2024고단1582(병합)",강제추행·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등),전주지방법원,2024-11-13,강제추행,indecent,lawfirm,imprisonment,Guilty,1.0,,normal,False,1,0,0,0,0,0,1,0,0,1,1,1
614593,2023노3763,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)·스토킹범죄의처벌등에관한법률위반·주거침입·상관모욕,서울고법,2024-03-29,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박),camera,lawyer,suspended,Guilty,2.0,,normal,True,1,0,0,1,0,1,1,1,0,1,0,0
240625,"2023노130, 2023전노14(병합), 15(병합), 16(병합)",성폭력범죄의처벌등에관한특례법위반(친족관계에의한강간)·아동복지법위반(아동학대)·아동복지법위반(아동에대한음행강요·매개·성희롱등)·성폭력범죄의처벌등에관한특례법위반(13세미만미성년자유사성행위)·부착명령,부산고등법원(창원),2023-10-11,성폭력범죄의처벌등에관한특례법위반(친족관계에의한강간),rape,lawfirm,suspended,Guilty,3.5,,reduced,True,1,1,0,0,0,0,1,1,1,0,0,0
238485,2022노1401,성폭력범죄의처벌등에관한특례법위반(공중밀집장소에서의추행),서울동부지방법원,2023-09-08,성폭력범죄의처벌등에관한특례법위반(공중밀집장소에서의추행),indecent,lawfirm,,Guilty,,,,False,0,0,0,0,0,0,0,0,0,0,0,0
237209,2022노3389,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·협박·폭행,서울고법,2023-04-13,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박),camera,lawyer,imprisonment,Guilty,1.0,,reduced,True,1,0,0,1,1,1,1,0,0,0,0,0
234807,2022노834,성폭력범죄의처벌등에관한특례법위반(주거침입강제추행),수원고등법원,2022-12-06,성폭력범죄의처벌등에관한특례법위반(주거침입강제추행),indecent,public,imprisonment,Guilty,4.0,,aggravated,False,0,0,0,0,0,0,0,0,0,0,0,0
233291,2022노1599,아동·청소년의성보호에관한법률위반(강간등치상)[인정된죄명아동·청소년의성보호에관한법률위반(위계등간음)·아동·청소년의성보호에관한법률위반(준강간)],서울고등법원,2022-11-08,청소년의성보호에관한법률위반(강간등치상),rape,public,suspended,Guilty,3.0,,reduced,True,1,0,1,0,0,1,1,1,0,0,0,1
220283,2021노824,미성년자의제강간,수원고법,2022-04-15,미성년자의제강간,rape,lawyer,suspended,Guilty,2.5,,reduced,True,1,0,0,0,0,1,0,0,0,0,0,0
231031,"2021노2006, 2021초기438",성폭력범죄의처벌등에관한특례법위반(주거침입강제추행)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등)·공연음란·위헌심판제청,서울고등법원,2022-03-10,성폭력범죄의처벌등에관한특례법위반(주거침입강제추행),indecent,lawfirm,suspended,Guilty,3.0,,normal,True,1,0,0,0,0,1,1,0,0,0,0,0
233355,2021고합349,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)·성폭력범죄의처벌등에관한특례법위반(촬영물등이용강요)·공갈미수,서울북부지방법원,2022-02-08,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박),camera,lawyer,both,Guilty,1.5,,normal,False,1,0,0,1,0,0,1,0,0,1,0,0
213435,2020노481,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),의정부지방법원,2020-07-16,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),camera,public,imprisonment,Guilty,1.5,,normal,False,1,0,0,0,0,0,0,0,0,0,0,0
237097,2019노2215,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),의정부지방법원,2020-02-06,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),camera,public,suspended,Guilty,0.5,,reduced,True,1,0,0,0,0,0,1,0,0,0,0,0
225727,2019노335,성폭력범죄의처벌등에관한특례법위반(특수강제추행)(인정된죄명:강제추행),대구고등법원,2019-11-21,성폭력범죄의처벌등에관한특례법위반(특수강제추행)(인정된죄명:강제추행),indecent,lawyer,fine,Guilty,,,,False,1,0,1,0,0,1,1,1,1,0,0,0
207129,2018고단3585,강제추행,서울서부지법,2019-04-17,강제추행,indecent,lawfirm,imprisonment,Guilty,0.6666666666666666,,reduced,True,1,0,0,0,0,0,1,0,0,0,0,1
200533,2018노609,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),부산지법,2018-07-06,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),camera,,fine,Guilty,,,,False,0,0,0,1,0,0,1,0,0,0,0,0
197632,"2016노1882, 2016전노130(병합)",강간(예비적죄명:강제추행)·협박·특수협박·부착명령,서울고등법원,2016-09-29,강간(예비적죄명:강제추행),rape,public,imprisonment,Guilty,0.6666666666666666,,reduced,True,1,1,1,0,0,0,1,0,0,0,0,0
184047,2015노24,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),춘천지방법원,2016-04-20,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),camera,lawfirm,both,Guilty,,,,False,0,0,0,1,0,0,0,0,0,0,0,0
182657,(청주)2015노18,강간·마약류관리에관한법률위반(향정),대전고등법원,2015-07-09,강간,rape,lawfirm,imprisonment,Guilty,2.5,,reduced,True,1,0,1,0,0,0,0,1,0,1,0,0
