"","outcome","lawyer","punishment","month","demage","repeated","reflection","conceal","settlement","restitution","crime"
"364",0,"lawfirm","suspended",6,5e+07,0,0,0,0,0,"breach"
"365",NA,"public","imprisonment",24,NA,0,1,0,0,0,"breach"
"366",NA,"lawfirm","suspended",12,NA,0,0,1,0,0,"breach"
"367",NA,"lawfirm","suspended",NA,NA,0,0,0,0,0,"breach"
"368",0,"lawyer","imprisonment",72,3.45e+09,0,0,1,0,0,"breach"
"369",NA,"lawfirm","suspended",8,NA,0,0,0,0,0,"breach"
"370",NA,"lawyer","imprisonment",NA,NA,0,1,0,0,1,"breach"
"371",0,"lawyer","suspended",8,6.3e+07,0,1,1,1,1,"breach"
"372",0,"lawyer","suspended",60,1408552953,0,0,1,0,1,"breach"
"373",NA,"lawfirm","both",36,NA,0,0,0,0,0,"breach"
"374",0,"lawfirm","suspended",24,22033500,0,0,1,0,0,"breach"
"375",NA,"lawfirm","both",84,NA,0,0,0,0,1,"breach"
"376",0,"lawfirm","suspended",36,3e+09,1,0,0,0,0,"breach"
"377",0,"lawfirm","suspended",60,2e+09,0,1,0,0,1,"breach"
"378",0,"lawfirm","imprisonment",48,1923700000,0,1,1,0,1,"breach"
"379",NA,"lawyer","suspended",6,NA,0,0,0,0,0,"breach"
"380",0,"lawfirm","suspended",42,5e+07,0,1,0,0,0,"breach"
"381",0,"lawfirm","suspended",36,2.2e+09,0,0,1,1,1,"breach"
"382",NA,"lawfirm","both",NA,NA,0,0,0,0,0,"breach"
"383",NA,"public","suspended",6,NA,0,0,0,0,0,"breach"
"384",NA,"lawfirm","both",NA,NA,0,1,0,0,0,"breach"
"385",0,"lawfirm","suspended",72,1.2e+08,0,0,0,0,0,"breach"
"386",NA,"lawfirm","suspended",NA,NA,0,0,0,0,0,"breach"
"387",NA,NA,"imprisonment",NA,6e+07,0,0,0,0,0,"breach"
"388",NA,"lawfirm","suspended",NA,NA,0,0,0,0,0,"breach"
"389",NA,"lawyer","suspended",12,NA,0,0,0,0,0,"breach"
"390",NA,"lawfirm","suspended",24,NA,0,0,0,0,0,"breach"
"391",0,"lawfirm","suspended",72,1.72e+08,0,0,0,0,1,"breach"
"392",0,"public","suspended",20,201695000,0,1,0,1,1,"breach"
"393",NA,"lawfirm","both",NA,NA,0,0,0,0,0,"breach"
"394",0,"lawfirm","suspended",24,4670000,0,0,0,0,0,"breach"
"395",NA,"lawfirm","suspended",8,NA,0,0,0,0,0,"breach"
"396",NA,"lawfirm","imprisonment",24,NA,0,0,1,0,0,"breach"
"397",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach"
"398",NA,"lawfirm","suspended",NA,NA,0,0,0,0,0,"breach"
"399",0,"lawfirm","suspended",15,3e+05,0,0,0,0,0,"breach"
"400",NA,"public","imprisonment",14,NA,0,1,0,0,0,"breach"
"401",0,"lawfirm","suspended",8,1e+07,0,0,1,0,0,"breach"
"402",0,"lawfirm","both",24,1.93e+08,0,0,0,0,0,"breach"
"403",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach"
"404",0,"lawfirm","both",18,4.75e+08,0,0,0,0,1,"breach"
"405",NA,"lawfirm","imprisonment",12,NA,0,0,1,0,0,"breach"
"406",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach"
"407",1,"lawfirm","imprisonment",8,199756000,0,1,0,0,1,"breach"
"408",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach"
"409",1,NA,"imprisonment",12,406499920,0,1,0,0,0,"breach"
"410",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach"
"411",NA,"lawfirm","suspended",NA,NA,0,0,0,0,0,"breach"
"412",NA,"lawfirm","suspended",36,NA,0,1,1,0,1,"breach"
"413",0,"lawfirm","imprisonment",6,3e+07,0,0,0,0,0,"breach"
"414",NA,"lawfirm","both",NA,NA,0,0,0,0,0,"breach"
"415",NA,"lawfirm","suspended",48,NA,0,0,1,0,0,"breach"
"416",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach"
"417",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach"
"418",0,"lawfirm","suspended",6,4210000,0,0,0,0,0,"breach"
"419",0,"lawfirm","suspended",120,2.4447e+12,0,0,1,0,0,"breach"
"420",1,"public","suspended",8,479615000,0,1,1,0,1,"breach"
"421",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach"
"422",1,"lawfirm","suspended",8,289200755,0,0,1,0,0,"breach"
"423",1,"lawyer","suspended",24,1.1e+09,0,0,1,0,1,"breach"
"424",0,"lawfirm","suspended",30,1.95e+09,0,0,1,1,1,"breach"
"425",1,"lawfirm","suspended",18,1.474e+09,0,1,0,1,1,"breach"
"426",NA,"lawfirm","both",NA,NA,0,0,0,0,0,"breach"
"427",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"breach"
"428",NA,"lawfirm","suspended",NA,NA,0,0,0,0,1,"breach"
"429",1,"lawfirm","suspended",6,5e+08,0,0,1,1,0,"breach"
"430",NA,"lawfirm","suspended",12,NA,0,0,0,0,1,"breach"
"431",0,"lawfirm","suspended",6,11300865,0,0,1,0,0,"breach"
"432",NA,"lawyer","suspended",6,NA,0,1,0,0,0,"breach"
"433",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach"
"434",1,"public","imprisonment",12,1.6e+08,0,1,0,0,0,"breach"
"435",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,0,"breach"
"436",0,"lawyer","suspended",72,1.48e+08,0,1,0,0,1,"breach"
"437",NA,"lawyer","both",NA,NA,0,1,0,0,0,"breach"
