"","outcome","lawyer","punishment","month","demage","repeated","reflection","conceal","settlement","restitution","crime"
"84",0,"public","both",8,2.1e+07,0,1,0,0,0,"fraud"
"85",1,NA,"imprisonment",10,1e+08,0,0,0,0,0,"fraud"
"86",NA,"lawyer","suspended",6,NA,0,0,0,0,0,"fraud"
"87",0,"lawyer","suspended",6,5e+07,0,1,0,1,1,"fraud"
"88",0,"lawyer","suspended",60,4698000008,0,0,1,0,0,"fraud"
"89",NA,"lawyer","both",NA,NA,0,1,0,0,0,"fraud"
"90",NA,"lawfirm",NA,NA,NA,0,0,0,0,0,"fraud"
"91",NA,"lawfirm","imprisonment",NA,5e+09,0,0,0,1,0,"fraud"
"92",NA,"lawyer","suspended",NA,10673280,0,0,0,0,0,"fraud"
"93",1,"lawfirm","suspended",24,1123900000,0,1,0,0,0,"fraud"
"94",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,0,"fraud"
"95",NA,"lawfirm",NA,NA,NA,0,0,0,0,0,"fraud"
"96",NA,"lawyer",NA,NA,NA,0,0,0,0,0,"fraud"
"97",NA,"lawfirm",NA,NA,NA,0,0,0,0,0,"fraud"
"98",0,"public","imprisonment",48,1.37e+10,1,0,0,0,0,"fraud"
"99",NA,"lawfirm","both",180,NA,0,0,0,0,0,"fraud"
"100",0,"public","imprisonment",8,6e+05,0,0,0,1,0,"fraud"
"101",0,"public","both",18,91200000,0,0,0,0,0,"fraud"
"102",NA,NA,"imprisonment",10,NA,0,0,0,0,0,"fraud"
"103",1,"lawfirm","suspended",8,5.4e+08,0,0,0,1,0,"fraud"
"104",NA,"lawyer","both",14,NA,1,0,0,0,0,"fraud"
"105",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"fraud"
"106",0,"public","imprisonment",18,2e+08,0,0,0,0,0,"fraud"
"107",0,"lawfirm","suspended",36,31784292307,0,0,1,0,1,"fraud"
"108",0,"lawyer","both",120,4e+09,0,0,0,0,0,"fraud"
"109",1,"lawfirm","both",30,2.369e+09,0,0,0,0,0,"fraud"
"110",NA,"public",NA,NA,NA,0,0,0,0,0,"fraud"
"111",0,"public","both",8,3.8e+07,0,0,0,1,1,"fraud"
"112",0,"public","imprisonment",18,1e+08,1,0,0,0,0,"fraud"
"113",NA,"lawfirm",NA,NA,NA,0,0,0,0,0,"fraud"
"114",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"fraud"
"115",NA,"lawfirm","suspended",NA,NA,0,0,1,0,0,"fraud"
"116",NA,"lawfirm","imprisonment",NA,NA,0,0,0,0,1,"fraud"
"117",NA,"lawfirm","imprisonment",NA,NA,0,0,1,0,0,"fraud"
"118",1,NA,"suspended",12,1e+09,0,0,0,0,1,"fraud"
"119",NA,"lawyer",NA,NA,NA,0,0,0,0,0,"fraud"
"120",0,"lawfirm","suspended",24,163244440,0,0,0,0,0,"fraud"
"121",0,"lawfirm","both",36,7.2e+09,0,0,0,1,0,"fraud"
"122",NA,"lawyer","imprisonment",NA,NA,0,0,0,0,0,"fraud"
"123",NA,"lawfirm",NA,NA,9e+06,0,0,0,0,0,"fraud"
"124",NA,"lawfirm",NA,NA,3101939295,0,1,0,0,0,"fraud"
"125",NA,"lawyer",NA,NA,5e+07,0,0,0,0,0,"fraud"
"126",NA,"lawyer","suspended",30,NA,0,1,0,0,0,"fraud"
"127",NA,"lawyer","suspended",28,NA,0,0,0,0,0,"fraud"
"128",NA,"lawfirm",NA,NA,46866593,0,0,0,0,0,"fraud"
"129",0,"lawfirm","both",36,3e+08,0,0,0,1,0,"fraud"
"130",0,"lawfirm","suspended",36,258052791,0,1,0,0,0,"fraud"
"131",0,"lawyer","suspended",24,3e+08,0,0,0,0,0,"fraud"
"132",NA,"lawfirm",NA,NA,1e+08,0,0,0,0,0,"fraud"
"133",0,"lawfirm","suspended",36,1074246510,0,0,1,0,0,"fraud"
"134",NA,"lawfirm",NA,NA,9.8e+08,0,0,0,0,0,"fraud"
